Elo Gain,ACS,Econ,Enemy Losses,First Bloods,Plants,Defuses,Kills,Deaths,Assists
31,303,80,9,6,0,0,23,15,7
38,367,101,1,4,0,0,18,8,7
21,211,54,12,3,0,0,18,18,5
19,227,64,11,5,0,1,19,17,5
21,218,55,8,2,0,0,18,13,2
22,185,51,11,1,4,0,16,18,5
28,314,90,10,4,0,1,22,15,11
22,239,57,10,2,4,0,20,16,10
14,217,59,13,4,0,1,22,21,2
24,231,78,5,1,0,0,17,8,3
27,244,76,9,1,0,1,15,16,8
27,248,66,6,1,0,0,16,13,6
17,108,31,9,0,1,0,7,20,9
20,178,49,11,2,4,0,14,18,6
20,208,64,8,2,2,1,14,15,12
19,210,49,9,8,0,0,15,17,6
25,283,111,3,5,1,0,18,9,3
22,336,85,6,3,2,0,20,16,6
18,192,61,10,0,4,0,16,17,7
34,403,148,6,6,0,0,27,9,4
39,294,90,4,3,3,0,18,7,5
21,218,75,9,1,2,0,18,15,4
18,196,65,9,2,1,1,18,11,3
31,263,67,8,6,1,2,20,10,6
43,346,103,6,2,1,0,25,10,3
10,105,51,9,0,0,0,9,14,4
13,74,21,4,1,2,0,3,11,10
14,200,44,11,1,3,0,17,16,13
18,217,61,10,4,0,0,17,17,5
17,185,50,7,1,0,0,9,16,12
14,192,47,12,4,4,0,18,17,0
20,238,77,8,2,1,0,18,12,4
31,231,58,12,7,2,1,23,18,7
33,259,67,7,2,3,0,21,11,4
31,280,103,7,0,6,0,21,11,4
30,190,90,6,0,4,0,13,9,10
27,166,46,5,1,3,0,12,9,9
31,238,58,8,4,10,0,18,14,7
31,252,96,8,0,0,0,17,12,14
29,241,69,10,5,2,0,19,18,5
22,162,41,11,1,1,0,10,19,11
30,224,57,10,1,1,0,18,18,9
17,110,35,8,0,2,0,9,12,3
25,183,44,10,0,2,0,15,15,4
21,127,48,11,2,1,0,11,15,7
29,159,53,2,1,5,0,8,7,8
28,181,53,7,1,2,0,13,12,6
14,200,55,10,3,0,1,17,15,6
21,271,89,9,5,0,1,21,16,1
29,235,72,13,4,0,1,25,17,3
34,356,109,3,2,0,0,21,8,4
34,337,109,9,2,0,1,27,16,5
25,320,96,11,2,2,1,27,16,2
25,235,62,12,5,0,1,21,17,11
22,238,63,11,5,0,0,20,20,4
21,213,58,9,5,0,0,15,14,6
13,143,39,9,2,0,1,9,17,5
23,307,73,10,1,1,0,22,18,6
32,379,100,8,3,0,1,29,12,4
23,217,65,4,3,0,0,13,12,5
21,303,68,11,4,0,1,25,20,3
10,116,31,12,1,1,0,9,23,9
30,242,65,7,2,5,0,18,11,9
31,223,55,8,4,0,0,15,15,7
21,201,58,9,1,1,1,16,14,6
25,341,86,6,4,0,0,24,10,3
10,233,54,8,3,1,0,18,15,2
21,161,50,4,3,1,0,8,9,5
18,258,79,8,1,0,4,22,9,6
15,178,58,9,0,0,0,14,16,2
19,273,82,8,0,3,0,22,13,3
24,338,100,5,2,5,2,24,7,8
11,198,48,13,6,1,0,18,24,4
19,173,48,2,2,0,1,8,13,5
33,345,165,1,4,1,0,17,4,5
13,161,39,14,4,1,0,15,23,10
24,282,103,5,2,2,0,20,11,6
23,314,90,4,5,0,1,19,9,4
19,227,58,4,1,0,0,14,12,5
17,239,55,15,2,3,0,27,20,4
28,213,59,11,1,0,0,17,17,7
38,285,81,11,7,1,0,22,18,7
20,166,75,6,0,0,0,10,11,5
23,173,54,6,1,0,0,13,11,2
21,277,72,5,3,3,0,17,14,7
24,179,43,11,2,5,1,16,15,15
36,261,72,11,3,6,1,21,18,4
26,197,46,7,3,0,0,17,11,10
32,375,99,8,6,0,1,27,10,10
17,227,50,12,4,1,0,19,20,6
18,172,56,11,1,0,0,14,15,4
24,289,71,12,3,2,1,27,17,2
22,204,62,7,1,5,0,14,11,10
28,265,105,6,1,1,1,21,8,1
19,115,38,5,1,4,0,8,10,3
20,205,57,6,3,2,1,13,13,5
25,261,80,6,1,1,2,18,6,4
23,260,71,5,1,1,2,16,11,8
19,183,56,9,0,4,1,11,16,11
20,187,49,10,2,4,1,14,16,5
